Technique ID,Name,Tactics,Status,Comment
T1098.003,Account Manipulation: Add Account to Group,"Privilege Escalation, Defense Evasion",Tested,alerts/identity-management/3_LocalUserAccountModified.md
T1136.001,Create Account: Local Account,"Persistence, Privilege Escalation",Tested,alerts/identity-management/1_local_account_created_deleted.md
T1136.002,Create Account: Domain Account,"Privilege Escalation, Defense Evasion",Tested,alerts/identity-management/2_UserAccountAddedToLocalGroup_RemovedFromLocalGroup.md
